番号,原材料名,物質名,化学式,換算量,備考
1-1,強力粉(胚乳)/300g,水分,H₂O,24.00 g,-
1-2,強力粉(胚乳)/300g,アミロペクチン,(C₆H₁₀O₅)ₙ,96.00 g,-
1-3,強力粉(胚乳)/300g,アミロース,(C₆H₁₀O₅)ₙ,32.00 g,-
1-4,強力粉(胚乳)/300g,グルテニン,C₁₀₀₀H₁₆₀₀N₂₆₀O₃₁₀S₁₀,18.00 g,代表組成式.　
1-5,強力粉(胚乳)/300g,グリアジン,C₂₀₀H₃₂₀N₅₀O₆₀S₂,15.00 g,代表組成式
1-6,強力粉(胚乳)/300g,アルブミン/グロブリン,タンパク質一般式 CₓHᵧN𝓏O𝓌Sᵥ,3.00 g,-
1-7,強力粉(胚乳)/300g,ペントサン（アラビノキシラン）,(C₅H₈O₄)ₙ,12.00 g,-
1-8,強力粉(胚乳)/300g,セルロース,(C₆H₁₀O₅)ₙ,12.00 g,-
1-9,強力粉(胚乳)/300g,リグニン,C₉H₁₀O₂–C₁₀H₁₂O₃（平均式）,3.00 g,平均式
1-10,強力粉(胚乳)/300g,微量脂質（トリグリセリド）,C₅₅H₉₈O₆（例：トリオレイン）,1.50 g,-
1-11,強力粉(胚乳)/300g,遊離脂肪酸（リノール酸など）,C₁₈H₃₂O₂,0.30 g,-
1-12,強力粉(胚乳)/300g,リン脂質（レシチン）,C₄₂H₈₀NO₈P,0.20 g,-
1-13,強力粉(胚乳)/300g,灰分（Ca²⁺）,Ca²⁺,0.05 g,-
1-14,強力粉(胚乳)/300g,灰分（Mg²⁺）,Mg²⁺,0.05 g,-
1-15,強力粉(胚乳)/300g,灰分（K⁺）,K⁺,0.15 g,-
1-16,強力粉(胚乳)/300g,灰分（P：フィチン酸塩として存在）,C₆H₆O₂₄P₆（フィチン酸）,0.20 g,-
1-17,強力粉(胚乳)/300g,フェノール類・ポリフェノール,C₆H₆O（代表式）,微量,-
1-18,強力粉(胚乳)/300g,グルコース、フルクトース,C₆H₁₂O₆,微量,イーストの初期発酵に利用
1-19,強力粉(胚乳)/300g,"遊離アミノ酸（リジン, プロリン等）",多様,微量,風味形成の基質
1-20,強力粉(胚乳)/300g,システイン,C₃H₇NO₂S,微量,含硫アミノ酸
1-21,強力粉(胚乳)/300g,アスコルビン酸(ビタミンC),C₆H₈O₆,微量（製品に依存）,酸化剤としてグルテン網の形成を強化
1-22,追加水(軟水)/30g,水分,H₂O,29.94 g,-
1-23,追加水(軟水)/30g,カルシウムイオン,Ca²⁺,2.0 mg,-
1-24,追加水(軟水)/30g,重炭酸カルシウム,Ca(HCO₃)₂,微量,硬度成分
1-25,追加水(軟水)/30g,マグネシウムイオン,Mg²⁺,1.0 mg,-
1-26,追加水(軟水)/30g,重炭酸マグネシウム,Mg(HCO₃)₂,微量,硬度成分
1-27,追加水(軟水)/30g,ナトリウムイオン,Na⁺,1.0 mg,-
1-28,追加水(軟水)/30g,カリウムイオン,K⁺,0.5 mg,-
1-29,追加水(軟水)/30g,炭酸水素イオン,HCO₃⁻,15.0 mg,-
1-30,追加水(軟水)/30g,硫酸イオン,SO₄²⁻,1.0 mg,-
1-31,追加水(軟水)/30g,塩化物イオン,Cl⁻,0.5 mg,-
1-32,牛乳（無調整）/180g,水分,H₂O,156.60 g,-
1-33,牛乳（無調整）/180g,ラクトース（乳糖）,C12H22O11,8.64 g,-
1-34,牛乳（無調整）/180g,カゼイン（総）,Protein (casein),4.50 g,-
1-35,牛乳（無調整）/180g,β-ラクトグロブリン（ホエイ）,Protein (β-lg),1.44 g,-
1-36,牛乳（無調整）/180g,α-ラクトアルブミン（ホエイ）,Protein (α-la),0.36 g,-
1-37,牛乳（無調整）/180g,総脂質（乳脂肪）,TAG (fat),6.66 g,-
1-38,牛乳（無調整）/180g,パルミチン酸 (16:0),C16H32O2,1.80 g,-
1-39,牛乳（無調整）/180g,オレイン酸 (18:1),C18H34O2,1.62 g,-
